ticker,name,price,date,quantity,currency,assetType,broker
AP2,Applied Materials,162.66,2024-12-16,0.0617,EUR,Stock,TR-CT
TL0,Tesla,424.9,2024-12-16,0.0235,EUR,Stock,TR-CT
AP2,Applied Materials,166.82,2024-12-05,0.1558,EUR,Stock,TR-CT
CSPX,iShares S&P 500,609.92,2024-12-09,0.0012,EUR,ETF,TR-CT
CSPX,iShares S&P 500,609.92,2024-12-09,0.0328,EUR,ETF,TR-CT
TL0,Tesla,371.75,2024-12-09,0.0269,EUR,Stock,TR-CT
TL0,Tesla,340.95,2024-12-02,0.0292,EUR,Stock,TR-CT
APC,Apple,222.1,2024-11-27,0.0446,EUR,Stock,TR-CT
TL0,Tesla,328.15,2024-11-18,0.0303,EUR,Stock,TR-CT
CSPX,iShares S&P 500,597.96,2024-11-11,0.0335,EUR,ETF,TR-CT
CSPX,iShares S&P 500,597.92,2024-11-11,0.0021,EUR,ETF,TR-CT
TL0,Tesla,321.6,2024-11-11,0.0311,EUR,Stock,TR-CT
CSPX,iShares S&P 500,556.48,2024-11-04,0.0102,EUR,ETF,TR-CT
TL0,Tesla,225.6,2024-11-04,0.0363,EUR,Stock,TR-CT
CSPX,iShares S&P 500,572.42,2024-10-23,0.0044,EUR,ETF,TR-CT
CSPX,iShares S&P 500,572.48,2024-10-23,0.0349,EUR,ETF,TR-CT
TL0,Tesla,200.45,2024-10-23,0.0499,EUR,Stock,TR-CT
CSPX,iShares S&P 500,564.94,2024-10-16,0.0351,EUR,ETF,TR-CT
CSPX,iShares S&P 500,564.94,2024-10-16,0.0028,EUR,ETF,TR-CT
TL0,Tesla,203.4,2024-10-16,0.0491,EUR,Stock,TR-CT
CSPX,iShares S&P 500,555.6,2024-10-09,0.004,EUR,ETF,TR-CT
CSPX,iShares S&P 500,555.62,2024-10-09,0.036,EUR,ETF,TR-CT
TL0,Tesla,225.65,2024-10-09,0.0443,EUR,Stock,TR-CT
CSPX,iShares S&P 500,544.66,2024-10-02,0.0367,EUR,ETF,TR-CT
CSPX,iShares S&P 500,544.66,2024-10-02,0.0047,EUR,ETF,TR-CT
TL0,Tesla,220.45,2024-10-02,0.0454,EUR,Stock,TR-CT
CSPX,iShares S&P 500,543.14,2024-09-23,0.0368,EUR,ETF,TR-CT
CSPX,iShares S&P 500,543.14,2024-09-23,0.0083,EUR,ETF,TR-CT
TL0,Tesla,222.15,2024-09-23,0.045,EUR,Stock,TR-CT
CSPX,iShares S&P 500,534.04,2024-09-17,0.0367,EUR,ETF,TR-CT
CSPX,iShares S&P 500,534.04,2024-09-17,0.0092,EUR,ETF,TR-CT
TL0,Tesla,203.65,2024-09-17,0.0491,EUR,Stock,TR-CT
CSPX,iShares S&P 500,521.82,2024-09-09,0.023,EUR,ETF,TR-CT
CSPX,iShares S&P 500,521.82,2024-09-09,0.0383,EUR,ETF,TR-CT
CSPX,iShares S&P 500,539.2,2024-09-02,0.0171,EUR,ETF,TR-CT
CSPX,iShares S&P 500,539.2,2024-09-02,0.0371,EUR,ETF,TR-CT
TL0,Tesla,192.36,2024-09-02,0.0936,EUR,Stock,TR-CT
TL0,Tesla,192.44,2024-09-02,0.078,EUR,Stock,TR-CT
CSPX,iShares S&P 500,533.36,2024-08-23,0.0375,EUR,ETF,TR-CT
CSPX,iShares S&P 500,532.96,2024-08-23,0.015,EUR,ETF,TR-CT
CSPX,iShares S&P 500,531.18,2024-08-16,0.0376,EUR,ETF,TR-CT
CSPX,iShares S&P 500,531.22,2024-08-16,0.0209,EUR,ETF,TR-CT
TL0,Tesla,198.86,2024-08-16,0.0905,EUR,Stock,TR-CT
CSPX,iShares S&P 500,513.16,2024-08-09,0.039,EUR,ETF,TR-CT
CSPX,iShares S&P 500,513.16,2024-08-09,0.0169,EUR,ETF,TR-CT
M4I,MasterCard,425.5,2024-08-02,0.0353,EUR,Stock,TR-CT
CSPX,iShares S&P 500,519.82,2024-08-02,0.0129,EUR,ETF,TR-CT
CSPX,iShares S&P 500,518.86,2024-08-02,0.0385,EUR,ETF,TR-CT
CSPX,iShares S&P 500,541.98,2024-07-23,0.0369,EUR,ETF,TR-CT
CSPX,iShares S&P 500,541.98,2024-07-23,0.0127,EUR,ETF,TR-CT
M4I,MasterCard,408.75,2024-07-16,0.0245,EUR,Stock,TR-CT
CSPX,iShares S&P 500,548.4,2024-07-16,0.0365,EUR,ETF,TR-CT
CSPX,iShares S&P 500,548.42,2024-07-16,0.0317,EUR,ETF,TR-CT
CSPX,iShares S&P 500,544.34,2024-07-09,0.0235,EUR,ETF,TR-CT
CSPX,iShares S&P 500,544.34,2024-07-09,0.0367,EUR,ETF,TR-CT
M4I,MasterCard,409.2,2024-07-02,0.0244,EUR,Stock,TR-CT
CSPX,iShares S&P 500,537.7,2024-07-02,0.0188,EUR,ETF,TR-CT
CSPX,iShares S&P 500,537.7,2024-07-02,0.0372,EUR,ETF,TR-CT
CSPX,iShares S&P 500,536.5,2024-06-24,0.0167,EUR,ETF,TR-CT
CSPX,iShares S&P 500,536.5,2024-06-24,0.0373,EUR,ETF,TR-CT
CSPX,iShares S&P 500,534.18,2024-06-17,0.014,EUR,ETF,TR-CT
CSPX,iShares S&P 500,534.18,2024-06-17,0.0374,EUR,ETF,TR-CT
CSPX,iShares S&P 500,523.64,2024-06-10,0.0382,EUR,ETF,TR-CT
CSPX,iShares S&P 500,523.64,2024-06-10,0.0081,EUR,ETF,TR-CT
CSPX,iShares S&P 500,514.16,2024-06-03,0.039,EUR,ETF,TR-CT
CSPX,iShares S&P 500,514.16,2024-06-03,0.0117,EUR,ETF,TR-CT
CSPX,iShares S&P 500,515.36,2024-05-16,0.0776,EUR,ETF,TR-CT
APC,Apple,173.88,2024-05-16,0.2876,EUR,Stock,TR-CT
AL2SI,2CRSI,8.43,2025-08-28,15,EUR,Stock,BB-PEA
AL2SI,2CRSI,9.55,2025-07-21,12,EUR,Stock,BB-PEA
SU,Schneider Electric,215.5,2025-06-19,1,EUR,Stock,BB-PEA
SU,Schneider Electric,220.37,2025-05-21,2,EUR,Stock,BB-PEA
ESE,BNP Paribas Easy S&P 500,23.75,2025-04-23,20,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,23.45,2025-04-17,20,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,24.2,2025-04-14,50,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,50,2025-04-10,10,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,24.36,2025-04-03,30,EUR,ETF,BB-PEA
STEC,iShares STOXX Europe 600 Tech,5.42,2025-04-08,120,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,47.8,2025-04-08,20,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,23.55,2025-04-08,40,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,26.03,2025-04-02,20,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,54.75,2025-03-27,20,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,55.35,2025-03-26,16,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,55.35,2025-03-20,20,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,26.05,2025-03-17,20,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,25.74,2025-03-14,40,EUR,ETF,BB-PEA
STEC,iShares STOXX Europe 600 Tech,6.17,2025-03-12,130,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,55.8,2025-03-07,20,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,26.6,2025-03-07,40,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,27.3,2025-03-05,4,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,28.3,2025-02-28,4,EUR,ETF,BB-PEA
STEC,iShares STOXX Europe 600 Tech,6.63,2025-02-25,17,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,55.5,2025-02-24,2,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,49.99,2024-10-30,2,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,25.25,2024-08-26,4,EUR,ETF,BB-PEA
STEC,iShares STOXX Europe 600 Tech,6,2024-08-07,17,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,25.42,2024-07-24,4,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,50.3,2024-07-10,2,EUR,ETF,BB-PEA
ESE,BNP Paribas Easy S&P 500,25.75,2024-06-20,4,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,51.2,2024-06-10,2,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,51.9,2024-05-28,2,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,52.5,2024-05-10,2,EUR,ETF,BB-PEA
EUEA,iShares Core EURO STOXX 50,51.4,2024-04-29,2,EUR,ETF,BB-PEA
STEC,iShares STOXX Europe 600 Tech,6.4,2024-04-11,16,EUR,ETF,BB-PEA
BKSY,Blacksky,21.8,2025-10-23,5,USD,Stock,RV-CT
BKSY,Blacksky,19.22,2025-07-30,5,USD,Stock,RV-CT
M4I,Mastercard,425.5,2024-08-02,0.035252,EUR,Stock,TR-CT
CASH,Dépôt,0.68,2025-11-14,1,EUR,Cash,RV-CT
CASH,Dépôt,3.82,2025-11-14,1,EUR,Cash,TR-CT
CASH,Dépôt,12.01,2025-11-14,1,EUR,Cash,BB-PEA
BTC,Bitcoin,81366.82,2025-11-18,0.001211,EUR,Crypto,Bitstack
CASH,Dépôt,3,2025-11-23,1,EUR,Cash,RV-CT
BTC,Bitcoin,75867.38,2025-11-26,0.00129845,EUR,Crypto,Bitstack
